sistema,num_cicloe,calle_prin,calle_secu,colonia,alcaldia,latitud,longitud,sitio_de_e,estatus
Ecobici,261,Av. Paseo de la Reforma,Rio de la Plata,Cuauhtemoc,Cuauhtemoc,19.42491,-99.172455,Camell<f3>n,Instalada
Ecobici,1,Rio Sena,Rio Balsas,Cuauhtemoc,Cuauhtemoc,19.4335895,-99.1678193,Arroyo,Instalada
Ecobici,2,Rio Guadalquivir,Rio Nazas,Cuauhtemoc,Cuauhtemoc,19.43062276,-99.17123066,Arroyo,Instalada
Ecobici,4,Rio  Nilo,Rio Panuco,Cuauhtemoc,Cuauhtemoc,19.428491,-99.171693,Arroyo,Instalada
Ecobici,5,Rio Panuco,Rio Tiber,Cuauhtemoc,Cuauhtemoc,19.429804,-99.169451,Arroyo,Instalada
Ecobici,6,Rio Panuco,Rio Sena,Cuauhtemoc,Cuauhtemoc,19.430963,-99.166986,Arroyo,Instalada
Ecobici,7,Rio  Elba,Rio Lerma,Cuauhtemoc,Cuauhtemoc,19.425355,-99.17515,Arroyo,Instalada
Ecobici,9,Rio Guadalquivir,Rio Lerma,Cuauhtemoc,Cuauhtemoc,19.428184,-99.170013,Arroyo,Instalada
Ecobici,11,Rio Amazonas,Rio Lerma,Cuauhtemoc,Cuauhtemoc,19.431192,-99.163546,Arroyo,Instalada
Ecobici,12,Rio Lerma,Calz. Manuel Villalongin,Cuauhtemoc,Cuauhtemoc,19.432223,-99.161686,Arroyo,Instalada
Ecobici,13,Av. Paseo de la Reforma,Rio Mississippi,Cuauhtemoc,Cuauhtemoc,19.424941,-99.17233,Banqueta,Instalada
Ecobici,14,Av. Paseo de la Reforma,Rio de la Plata,Cuauhtemoc,Cuauhtemoc,19.42454,-99.173247,Banqueta,Instalada
Ecobici,15,Av. Paseo de la Reforma,Rio Mississippi,Cuauhtemoc,Cuauhtemoc,19.425597,-99.171409,Banqueta,Instalada
Ecobici,16,Av. Paseo de la Reforma,Rio Tiber,Cuauhtemoc,Cuauhtemoc,19.4267528,-99.16861944,Banqueta,Instalada
Ecobici,17,Av. Paseo de la Reforma,Rio Tiber,Cuauhtemoc,Cuauhtemoc,19.427553,-99.167396,Banqueta,Instalada
Ecobici,18,Av. Paseo de la Reforma,Rio Rhin,Cuauhtemoc,Cuauhtemoc,19.428802,-99.164381,Banqueta,Instalada
Ecobici,19,Av. Paseo de la Reforma,Rio Rhin,Cuauhtemoc,Cuauhtemoc,19.429453,-99.16283,Banqueta,Instalada
