num_cicloe,nombre_estacion,calle_prin,calle_secu,colonia,alcaldia,latitud,longitud,sitio_de_e
191,Gobernador Rafael Rebollar_Gobernador Vicente Eguía,Gobernador Rafael Rebollar,Gobernador Vicente Eguía,San Miguel Chapultepec,Miguel Hidalgo,19.40796,-99.187901,Arroyo
192-193,Rubén Darío_Reforma,Rubén Darío,Reforma,Bosque De Chapultepec,Miguel Hidalgo,19.42592,-99.190755,Camell<F3>N
194,Circuito Mahatma Gandhi_Reforma,Circuito Mahatma Gandhi,Reforma,Bosque De Chapultepec,Miguel Hidalgo,19.424282,-99.180334,Banqueta
195,Reforma_Circuito Mahatma Gandhi,Reforma,Circuito Mahatma Gandhi,Bosque De Chapultepec,Miguel Hidalgo,19.424858,-99.185181,Camell<F3>N
196,Lago Tanganica_Av. Ejército Nacional,Lago Tanganica,Av. Ejército Nacional,Granada,Miguel Hidalgo,19.438349,-99.192904,Arroyo
197,Presa Falcón_Miguel De Cervantes Saavedra,Presa Falcón,Miguel De Cervantes Saavedra,Ampliacion Granada,Miguel Hidalgo,19.440501,-99.205086,Arroyo
198,Sócrates_Ejército Nacional,Sócrates,Ejército Nacional,Polanco,Miguel Hidalgo,19.438168,-99.203888,Arroyo
199,Anatole France_Av. Ejército Nacional,Anatole France,Av. Ejército Nacional,Polanco,Miguel Hidalgo,19.437934,-99.197241,Arroyo
200,Emerson_Av. Ejército Nacional,Emerson,Av. Ejército Nacional,Polanco,Miguel Hidalgo,19.437596,-99.188785,Arroyo
201,Lope De Vega_Av. Ejército Nacional,Lope De Vega,Av. Ejército Nacional,Polanco,Miguel Hidalgo,19.437431,-99.187215,Arroyo
202,Calderón De La Barca_Av. Homero,Calderón De La Barca,Av. Homero,Polanco,Miguel Hidalgo,19.436064,-99.198898,Arroyo
203,Tennyson_Av. Homero,Tennyson,Av. Homero,Polanco,Miguel Hidalgo,19.435985,-99.194832,Arroyo
204,Temístocles_Homero,Temístocles,Homero,Polanco,Miguel Hidalgo,19.435882,-99.19152,Arroyo
205,Taine_Homero,Taine,Homero,Polanco,Miguel Hidalgo,19.435525,-99.184713,Arroyo
206,Homero_Moliere,Homero,Moliere,Polanco,Miguel Hidalgo,19.436142,-99.200996,Arroyo
207,Torquato Tasso_Homero,Torquato Tasso,Homero,Polanco,Miguel Hidalgo,19.434861,-99.183322,Arroyo
208,Hesiodo_Lamartine,Hesiodo,Lamartine,Polanco,Miguel Hidalgo,19.434182,-99.189835,Arroyo
209,Solón_Horacio,Solón,Horacio,Polanco,Miguel Hidalgo,19.435478,-99.206359,Arroyo
