Prefix,num_cicloe,calle_prin,calle_secu
CE,348,INDIANA,AVENIDA SAN ANTONIO
CE,349,AUGUSTO RODIN,AVENIDA SAN ANTONIO
CE,351,CALLE 27,AVENIDA REVOLUCIÓN
CE,352,TINTORETO,GIORGIONE
CE,353,CAROLINA,HOLBEIN
CE,354,BOSTON,AV. INSURGENTES
CE,355,CALIFORNIA,SACRAMENTO
CE,356,MATÍAS ROMERO,ADOLFO PRIETO
CE,357,MATÍAS ROMERO,AMORES
CE,358,NICOLÁS SAN JUAN,MATIAS ROMERO
CE,359,MATÍAS ROMERO,PESTALOZZI
CE,360,HERIBERTO FRÍAS,MATIAS ROMERO
CE,361,PORFIRIO DÍAZ,CAPULÍN
CE,362,AUGUSTO RODIN,ALBERTO BALDERAS
CE,363,HOLBEIN,PAULO UCELLO
CE,365,HOLBEIN,AVENIDA REVOLUCIÓN
CE,366,PORFIRIO DÍAZ,AUGUSTO RODIN
CE,367,BOSTON,AUGUSTO RODIN
CE,369,PORFIRIO DÍAZ,AV. INSURGENTES
CE,370,TLACOQUEMÉCATL,AV. INSURGENTES
CE,371,TLACOQUEMÉCATL,CAPULÍN
CE,372,DR. ROBERTO GAYOL,TLACOQUEMÉCATL
CE,373,PILARES,GABRIEL MANCERA
CE,374,PITÁGORAS,PILARES
CE,375,TENAYUCA,DIVISIÓN DEL NORTE
CE,377,HERIBERTO FRÍAS,MIGUEL LAURENT
CE,378,MIGUEL LAURENT,AMORES
CE,380,MORAS,SAN LORENZO
CE,381,SAN LORENZO,MANZANAS
CE,384,EMPRESA,POUSSIN
CE,385,POUSSIN,EMPRESA
CE,386,POUSSIN,DONATELLO
CE,387,CADIZ,EMPRESA
CE,389,SANTANDER,FÉLIX CUEVAS
CE,390-391,OSO,FÉLIX CUEVAS
CE,392,PATRICIO SANZ,FÉLIX CUEVAS
CE,393,ADOLFO PRIETO,FÉLIX CUEVAS
CE,394,DR. ROBERTO GAYOL,FÉLIX CUEVAS
CE,395,SAN LORENZO,MARTÍN MENDALDE
CE,396,MARTIN MENDALDE,FELIX CUEVAS
CE,397,SAN LORENZO,GABRIEL MANCERA
CE,398,JUAN SÁNCHEZ AZCONA,FÉLIX CUEVAS
CE,399,HERIBERTO FRÍAS,SAN LORENZO
CE,401,SAN LORENZO,AVENIDA CUAUHTÉMOC
CE,402,UXMAL,MUNICIPIO LIBRE
CE,404,MIGUEL LAURENT,AVENIDA DIVISIÓN DEL NORTE
CE,405,DIVISIÓN DEL NORTE,MUNICIPIO LIBRE
CE,407,PROLONGACIÓN XOCHICALCO,GENERAL EMILIANO ZAPATA
CE,409,AZORES,DIVISIÓN DEL NORTE
CE,412,PARROQUIA,AVENIDA UNIVERSIDAD
CE,413,PARROQUIA,AVENIDA COYOACÁN
CE,414,PARROQUIA,JOSÉ IGNACIO BARTOLACHE
CE,415,SAN FRANCISCO,PARROQUIA
CE,416,RECREO,PARROQUIA
CE,417,GOYA,AUGUSTO RODIN
CE,419,ACTIPAN,CADIZ
CE,420,MARÍA LUZ BRINGAS,OSO
CE,421,MARÍA LUZ BRINGAS,OSO
CE,422,BÚFALO,JOSÉ MARÍA RICO (EJE 8)
CE,423,MORAS,JOSÉ MARÍA RICO (EJE 8)
CE,424,AMORES,JOSÉ MARÍA RICO (EJE 8)
CE,425,NICOLAS SAN JUAN,AVENIDA UNIVERSIDAD
CE,427,AVENIDA MÉXICO,COYOACÁN-AV. POPOCATÉPETL (EJE 8)
CE,428,PROLONGACIÓN UXMAL,AV. POPOCATÉPETL (EJE 8)
CE,429,PIRINEOS,AV. POPOCATÉPETL (EJE 8)
CE,430,TRIPOLI,AV. POPOCATÉPETL (EJE 8)
CE,432,CARRILLO PUERTO,AVENIDA MÉXICO-COYOACAN
CE,433,JOSE MARÍA OLLOQUI,LOPÉZ COTILLA
CE,434,JOSE MARÍA OLLOQUI,AMORES
CE,436,RODRÍGUEZ SARO,BÚFALO
CE,437,MORAS,COMUNAL
CE,438,ADOLFO PRIETO,JOSÉ MARÍA OLLOQUI
CE,439,AMORES,AVENIDA COYOACÁN
CE,440,MARTIN MENDALDE,M. LÓPEZ COTILLA
CE,441,PUENTE XOCO,REAL DE MAYORAZGO
CE,442,REAL DE MAYORAZGO,AVENIDA MÉXICO - COYOACÁN
CE,443,BRUNO TRAVEN,GOLONDRINAS
CE,444,GENERAL MANUEL RINCÓN,AGUSTÍN GUTIERREZ
CE,445-446,RIFF,AVENIDA RÍO CHURUBUSCO
CE,447,AGUSTÍN MELGAR,ZAMORA
CE,448,DR. ANDRADE,ARCOS DE BELÉN
CE,449,ACAPULCO,PUEBLA
CE,450,RAMOS ARIZPE,AV MÉXICO TENOCHTITLAN
CE,451,CAMPOS ELÍSEOS,GOLDSMITH
CE,452,LEIBNITZ,AV. EJERCITO NACIONAL
CE,453,PEDREGAL,TEAPA
CE,454,MONTES URALES,MONTE PELVOUX
CE,455,PEDREGAL,FERROCARRIL DE CUERNAVACA
CE,456,ALPES,MONTES ESCANDINAVOS
CE,457,AV. PRADO NORTE,EXPLANADA
CE,458,MONTES URALES,VOLCÁN
CE,459,VOLCÁN,MONTES URALES
CE,460,JUAN VÁZQUEZ DE MELLA,HOMERO
CE,461,PRESA DON MARTÍN,BOULEVARD MIGUEL DE CERVANTES SAAVEDRA
CE,462,PRESA FALCÓN,PRESA DANXHÓ
CE,463,LAGO ANDRÓMACO,LAGO ZURICH
CE,464,MATEO ALEMÁN,PROLONGACIÓN MOLIERE
CE,465,LAGO GINEBRA,LAGO WETTER
CE,466,LAGO ONEGA,LAGO LADOGA
CE,467,LAGO MAYOR,LAGO ALBERTO
CE,468,LAGO XOCHIMILCO,AV. EJÉRCITO NACIONAL
CE,469,BAHÍA DE LA CONCEPCIÓN,BAHÍA DE TODOS LOS SANTOS
CE,470,BAHÍA DE LAS PALMAS,BAHÍA DE TODOS LOS SANTOS
CE,471,BAHÍA DE CHACHALACAS,BAHÍA DE SANTA BÁRBARA
CE,472,BAHÍA DE SANTA BÁRBARA,BAHÍA DE BALLENAS
CE,473,BAHÍA DEL ESPÍRITU SANTO,BAHÍA DE BANDERAS
CE,474,BAHÍA DE SAN HIPÓLITO,BAHÍA DEL ESPÍRITU SANTO
CE,475,LAGO MURITZ,LAGO ALBERTO
CE,476,LAGO COMO,LAGUNA DE MAYRÁN
CE,477,LAGO ISEO,LAGUNA DE MAYRÁN
CE,478,LAGUNA DE MAYRÁN,LAGO CHALCO
CE,479,LAGO MURITZ,AV.MARINA NACIONAL
CE,480,LAGO ISEO,AV. MARINA NACIONAL
CE,481,LAGO GARDA,MARIANO ESCOBEDO
CE,482,LAGO XOCHIMILCO,LAGUNA DE SAN CRISTÓBAL
CE,483,COLEGIO SALESIANO,MARINA NACIONAL
CE,484,LAGUNA MAYRAN,LAGO CUITZEO
CE,485,LAGO DE PÁTZCUARO,MARINA NACIONAL
CE,486,IZCOATL,CIRCUITO INTERIOR MELCHOR OCAMPO
CE,487,NOPALTZIN,QUETZALCOATL
CE,488,HUETZIN,CUITLÁHUAC
CE,489,LAGO CHALCO,LAGUNA TAMIAHUA
CE,490,LAGO GARDA,FFCC
CE,491,COLEGIO SALESIANO,LAGO CATEMACO
CE,492,LAGO CUITZEO,FELIPE CARRILLO PUERTO
CE,493,LAGO TLÁHUAC,LAGUNA DE GUZMÁN
CE,494,TLÁLOC,CALZADA MÉXICO TACUBA
CE,495,AMADO NERVO,DE LOS MAESTROS
CE,496,MAESTRO RURAL,JOSÉ PARRES
CE,497,MANUEL CARPIO,PLAN DE AYALA
CE,498,DE LOS MAESTROS,PLAN DE AGUA PRIETA
CE,499,DE LOS MAESTROS,CALZADA DE LOS GALLOS
CE,500,PLAN DE GUADALUPE /FERROCARRIL DE CUERNAVACA,JUAN SARABIA
CE,501,PLAN DE GUADALUPE /FERROCARRIL DE CUERNAVACA,ELIGIO ANCONA
CE,502,MAR MEDITERRÁNEO,CALLEJÓN DE LA ZANJA
CE,503,NEXTITLA,MAR EGEO
CE,504,MAR BLANCO,CALZADA MÉXICO TACUBA
CE,505,MAR NEGRO,MARIANO ESCOBEDO
CE,506,MAR MEDITERRÁNEO,MAR ARÁBIGO
CE,507,MAR MEDITERRÁNEO,AZCAPOTZALCO
CE,508,LIBERTAD,C. JOSÉ SÁNCHEZ TRUJILLO
CE,509,JUÁREZ,VENECIA
CE,510,EGIPTO,CALLE NORTE 79 A
CE,511,PALESTINA,EGIPTO
CE,512,CLAVERÍA,FLORESTA
CE,513,AV. AQUILES SERDÁN,AV. INVIERNO
CE,514,JOSÉ F. GUTIÉRREZ,INVIERNO
CE,515,TEBAS,C. SALÓNICA
CE,516,TEXCOCO,NILO
CE,517,IGNACIO ALLENDE,CLAVERÍA
CE,518,HELIÓPOLIS,NORTE 79A
CE,519,PONIENTE 58,CUITLÁHUAC
CE,520,SALÓNICA,EJE 3 NORTE CAMARONES
CE,521,YUCA,CLAVELINAS
CE,522,PROL. NUECES,AV. CUITLAHUAC
CE,523,TORONJIL,AV. CUITLAHUAC
