Prefix,num_cicloe,calle_prin,calle_secu,colonia,alcaldia,latitud,longitud,sitio_de_e,estatus
Ce,139,Tonalá,Guanajuato,Roma Norte,Cuauhtemoc,19.416128,-99.162097,Arroyo,Instalada
Ce,140,Mérida,Zacatecas,Roma Norte,Cuauhtemoc,19.416596,-99.156879,Arroyo,Instalada
Ce,141,Zacatecas,Luis Cabrera,Roma Norte,Cuauhtemoc,19.415905,-99.15954,Arroyo,Instalada
Ce,142,San Luis Potosí,Eje 2 Pte. Monterrey,Roma Norte,Cuauhtemoc,19.413232,-99.164121,Arroyo,Instalada
Ce,143,Córdoba,San Luis Potosí,Roma Norte,Cuauhtemoc,19.414303,-99.157542,Arroyo,Instalada
Ce,144,Frontera,San Luis Potosí,Roma Norte,Cuauhtemoc,19.415192,-99.154837,Arroyo,Instalada
Ce,145,Yucatán,Chiapas,Roma Norte,Cuauhtemoc,19.41286,-99.160661,Arroyo,Instalada
Ce,146,Coahuila,Manzanillo,Roma Norte,Cuauhtemoc,19.410737,-99.165716,Arroyo,Instalada
Ce,147,Coahuila,Orizaba,Roma Norte,Cuauhtemoc,19.412182,-99.158443,Arroyo,Instalada
Ce,148,Coahuila,Av. Cuauhtémoc,Roma Norte,Cuauhtemoc,19.412829,-99.155116,Arroyo,Instalada
Ce,149,Mérida,Antonio M. Anza,Roma Sur,Cuauhtemoc,19.41199,-99.155699,Arroyo,Instalada
Ce,150,Campeche,Medellín,Roma Sur,Cuauhtemoc,19.409894,-99.164288,Arroyo,Instalada
Ce,151,Campeche,Tonalá,Roma Sur,Cuauhtemoc,19.410529,-99.160873,Arroyo,Instalada
Ce,152,Tlacotalpan,Campeche,Roma Sur,Cuauhtemoc,19.409098,-99.167181,Arroyo,Instalada
Ce,153,Manzanillo,Tlaxcala,Roma Sur,Cuauhtemoc,19.407468,-99.165141,Arroyo,Instalada
Ce,154,Tuxpan,Tlaxcala,Roma Sur,Cuauhtemoc,19.406683,-99.167962,Arroyo,Instalada
Ce,155,Jalapa,Tlaxcala,Roma Sur,Cuauhtemoc,19.408218,-99.159911,Arroyo,Instalada
Ce,156,Tepic,Ario,Roma Sur,Cuauhtemoc,19.406959,-99.163021,Arroyo,Instalada
Ce,157,Tepic,Tlacotalpan,Roma Sur,Cuauhtemoc,19.406236,-99.166616,Arroyo,Instalada
Ce,158-159,Huatabampo,Eje 1 Pte. Av. Cuauhtémoc,Roma Sur,Cuauhtemoc,19.407507,-99.155541,Arroyo,Instalada
Ce,160,Alfonso Herrera,Gabino Barreda,San Rafael,Cuauhtemoc,19.440252,-99.163455,Arroyo,Instalada
Ce,161,Quintana Roo,Manzanillo,Roma Sur,Cuauhtemoc,19.405533,-99.164913,Arroyo,Instalada
Ce,162,Tehuantepec,Medellín,Roma Sur,Cuauhtemoc,19.404907,-99.162485,Arroyo,Instalada
Ce,163,Toluca,Bajío,Roma Sur,Cuauhtemoc,19.405246,-99.15643,Arroyo,Instalada
Ce,164,Bajío,Tlacotalpan,Roma Sur,Cuauhtemoc,19.403204,-99.16596,Arroyo,Instalada
Ce,165,Bajío,Eje 2 Pte. Monterrey,Roma Sur,Cuauhtemoc,19.404268,-99.160503,Arroyo,Instalada
Ce,166,Progreso,Cda. Antonio Maceo,Escandon,Miguel Hidalgo,19.406069,-99.183549,Arroyo,Instalada
Ce,167,General Salvador Alvarado,Progreso,Escandon,Miguel Hidalgo,19.404651,-99.179375,Arroyo,Instalada
Ce,168,Comercio,Progreso,Escandon,Miguel Hidalgo,19.403997,-99.1776,Arroyo,Instalada
Ce,169,Prosperidad,Progreso,Escandon,Miguel Hidalgo,19.403019,-99.174934,Arroyo,Instalada
Ce,170,Observatorio Oriente,Revolución,Escandon,Miguel Hidalgo,19.404029,-99.184342,Arroyo,Instalada
Ce,171,Comercio,Jose Martí,Escandon,Miguel Hidalgo,19.4025195,-99.1781595,Arroyo,Instalada
Ce,172,General Francisco Murguía,José Martí,Escandon,Miguel Hidalgo,19.4034757,-99.1817166,Arroyo,Instalada
Ce,173,Minería,José Martí,Escandon,Miguel Hidalgo,19.401682,-99.176398,Arroyo,Instalada
Ce,174,Joaquín Garcia Icazbalceta,Ignacio Manuel Altamirano,San Rafael,Cuauhtemoc,19.441114,-99.161636,Arroyo,Instalada
Ce,175,Mutualismo,José Martí,Escandon,Miguel Hidalgo,19.400767,-99.172533,Arroyo,Instalada
Ce,176,Av. Jesús García,Luis Donaldo Colosio,Buenavista,Cuauhtemoc,19.442717,-99.152262,Arroyo,Instalada
Ce,177,Benjamín Hill,Carlos Zetina,Hipodromo Condesa,Cuauhtemoc,19.408841,-99.181692,Arroyo,Instalada
Ce,178,Tamaulipas,Francisco Murguía,Hipodromo Condesa,Cuauhtemoc,19.406833,-99.180457,Arroyo,Instalada
